,HONDA MOTOR,HITACHI,FORD,DAIMLER,BYD,HYUNDAI|KIA,DANA,TOYOTA,NIDEC,CONTINENTAL,GM,BORGWARNER,DENSO_TOYOTA,VOLKSWAGEN,NISSAN,HONDA MOTOR_HITACHI,VITESCO,HYUNDAI,RENAULT_NISSAN
MOTOR COOLING,22.0,2.0,,2.0,,4.0,2.0,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,
STATOR,1.0,2.0,4.0,3.0,1.0,1.0,1.0,,,,,1.0,,,,,,,1.0
ROTOR,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,,,,,,1.0,,
MOTOR CASING,,2.0,,,4.0,,,,,,,,,,,,,,
MOTOR CONTROL,4.0,1.0,,,,,,,,,,,,,,,,,
MOTOR WINDING,1.0,1.0,3.0,,,,,,,,,,,,,,,,
STATOR WINDING,,,,,2.0,,1.0,,,,,,,,,,,,
STATOR,3.0,,,1.0,1.0,,,,,,,,,,,,,,
ROTOR MAGNET,2.0,,,,,,,,,,,,,,,,,,
Winding,,,,,,,,,2.0,,,,,,,,,,
SUPPORTING MEMBER,,,,,,,,1.0,,,,,,,,,,,
WINDINGS,,,,1.0,,,,,,,,,,,,,,,
MOTOR BEARING,,,,,,1.0,,,,,,,,,,,,,
Rotor,,,,,,,,,,,,,,,,,,,
ROTOR CORE,,1.0,,,,,,,,,,,,,,,,,
MOTOR COUPLING,1.0,,,,,,,,,,,,,,,,,,
ROTOR CORE | STATOR CORE,,,,1.0,,,,,,,,,,,,,,,
OUTPUT SHAFT,1.0,,,,,,,,,,,,,,,,,,
